City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Klaksvik,FO,62.2266,-6.589,50.92,79,6,19.19,clear sky
80,Cuenca,EC,-2.8833,-78.9833,51.1,94,90,2.44,overcast clouds
81,Myingyan,MM,21.4667,95.3833,95.05,46,100,7.56,heavy intensity rain
82,Sayyan,YE,15.1718,44.3244,57.78,78,100,2.95,overcast clouds
83,Rikitea,PF,-23.1203,-134.9692,72.9,74,12,16.42,light rain
84,Canavieiras,BR,-15.675,-38.9472,73.58,88,47,5.82,scattered clouds
85,Shelburne,CA,44.0787,-80.2041,62.76,73,3,5.61,clear sky
86,Saldanha,ZA,-33.0117,17.9442,50.63,77,7,10.47,clear sky
87,Iralaya,HN,15.0,-83.2333,80.42,85,92,13.24,overcast clouds
88,Leningradskiy,RU,69.3833,178.4167,49.28,67,62,12.48,broken clouds
89,Takaka,NZ,-40.85,172.8,51.57,67,68,2.35,broken clouds
90,Lebu,CL,-37.6167,-73.65,46.58,88,67,3.65,broken clouds
91,New Norfolk,AU,-42.7826,147.0587,53.1,75,100,3.0,moderate rain
92,Ponta Do Sol,PT,32.6667,-17.1,70.72,82,12,5.26,few clouds
93,Chokurdakh,RU,70.6333,147.9167,72.03,37,9,6.24,clear sky
94,Pascagoula,US,30.3658,-88.5561,77.04,95,0,0.0,clear sky
95,Port Hardy,CA,50.6996,-127.4199,60.78,93,11,9.86,few clouds
96,Bouna,CI,9.2667,-3.0,69.89,96,100,3.51,light rain
97,Kirovskiy,RU,45.0917,133.5136,83.62,71,100,4.21,light rain
98,Iskateley,RU,67.6803,53.1512,62.92,40,86,11.05,overcast clouds
99,Jamestown,US,42.097,-79.2353,62.71,74,0,1.99,clear sky
100,Kloulklubed,PW,7.0419,134.2556,83.55,76,83,10.49,broken clouds
101,Port Elizabeth,ZA,-33.918,25.5701,51.31,84,75,18.41,light rain
102,Oktyabrskoye,RU,43.0645,44.7417,71.74,68,0,2.24,clear sky
103,Provideniya,RU,64.3833,-173.3,50.88,75,99,6.11,overcast clouds
104,Airai,TL,-8.9266,125.4092,75.06,49,36,4.14,scattered clouds
105,Aklavik,CA,68.2191,-135.0107,51.46,71,75,6.17,broken clouds
106,Tiznit,MA,29.5833,-9.5,81.27,27,0,3.51,clear sky
107,Encruzilhada,BR,-15.5314,-40.9094,60.01,91,0,3.76,clear sky
108,Marfino,RU,55.7028,37.3822,68.34,52,0,2.24,clear sky
109,Ambon,ID,-3.6954,128.1814,75.34,100,75,10.36,broken clouds
110,Miura,JP,35.14,139.6192,96.6,78,2,16.87,clear sky
111,Yellowknife,CA,62.456,-114.3525,53.44,75,85,5.99,overcast clouds
112,Mananjary,MG,-21.2167,48.3333,67.05,86,8,3.44,clear sky
113,Kangasala,FI,61.4638,24.076,58.98,76,42,3.65,scattered clouds
114,Nikolskoye,RU,59.7035,30.7861,63.88,72,10,5.75,clear sky
115,Krasnyy,RU,54.5678,31.4333,59.77,76,62,5.41,broken clouds
116,Nouadhibou,MR,20.931,-17.0347,70.7,90,65,11.01,broken clouds
117,Anadyr,RU,64.75,177.4833,60.49,51,100,3.4,overcast clouds
118,Saryozek,KZ,44.3583,77.9753,75.02,41,97,1.79,overcast clouds
119,Hermanus,ZA,-34.4187,19.2345,52.79,62,70,2.1,broken clouds
120,Barrow,US,71.2906,-156.7887,35.62,87,100,9.22,overcast clouds
121,Port Blair,IN,11.6667,92.75,84.63,76,100,14.2,overcast clouds
122,Opuwo,NA,-18.0607,13.84,50.65,46,18,3.78,few clouds
123,Kyra,RU,49.5776,111.9753,75.94,43,36,5.1,scattered clouds
124,Itupiranga,BR,-5.1347,-49.3267,79.12,83,31,3.27,scattered clouds
125,Nogliki,RU,51.8333,143.1667,58.75,74,39,10.92,scattered clouds
126,Hambantota,LK,6.1241,81.1185,84.54,84,20,10.36,few clouds
127,Codrington,AU,-38.2667,141.9667,52.57,80,100,21.97,overcast clouds
128,Severo-Kurilsk,RU,50.6789,156.125,56.1,85,27,10.02,scattered clouds
129,Acajutla,SV,13.5928,-89.8275,79.09,84,100,6.87,overcast clouds
130,Jumla,NP,29.2747,82.1838,69.17,82,84,5.23,broken clouds
131,Xam Nua,LA,20.4197,104.0439,85.01,55,100,2.55,overcast clouds
132,Bandarbeyla,SO,9.4942,50.8122,80.89,61,64,27.81,broken clouds
133,Tarabuco,BO,-19.1667,-64.9167,46.56,62,5,4.18,clear sky
134,Ust-Nera,RU,64.5667,143.2,73.78,54,90,2.66,overcast clouds
135,Touros,BR,-5.1989,-35.4608,75.94,85,99,11.16,overcast clouds
136,Norman Wells,CA,65.282,-126.8329,57.15,64,38,7.58,scattered clouds
137,Clyde River,CA,70.4692,-68.5914,35.83,100,100,12.66,light rain
138,Chuguyevka,RU,44.1653,133.8633,85.08,63,100,3.91,overcast clouds
139,Usinsk,RU,65.9939,57.5281,65.32,67,63,4.05,broken clouds
140,Cartagena,CO,10.3997,-75.5144,80.22,83,0,8.05,clear sky
141,Nemuro,JP,43.3236,145.575,72.09,83,87,12.03,overcast clouds
142,Kutum,SD,14.2,24.6667,69.15,80,77,11.01,moderate rain
143,Seddon,AU,-37.8068,144.8916,58.87,53,40,23.02,scattered clouds
144,Arraial Do Cabo,BR,-22.9661,-42.0278,66.34,68,3,12.71,clear sky
145,Salinopolis,BR,-0.6136,-47.3561,78.48,86,92,9.24,overcast clouds
146,At-Bashi,KG,41.1702,75.8106,67.87,41,99,2.8,overcast clouds
147,La Reforma,MX,25.0833,-108.05,81.95,74,13,1.43,few clouds
148,Makakilo City,US,21.3469,-158.0858,80.92,66,20,13.8,few clouds
149,Krasnoselkup,RU,65.7,82.4667,57.9,53,3,22.86,clear sky
150,Kodiak,US,57.79,-152.4072,62.11,72,100,6.91,overcast clouds
151,Salalah,OM,17.0151,54.0924,78.89,83,75,8.05,broken clouds
152,Sitka,US,57.0531,-135.33,58.89,94,100,3.44,light intensity drizzle
153,Namibe,AO,-15.1961,12.1522,58.41,89,12,4.94,few clouds
154,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,56,5.99,broken clouds
155,Andenes,NO,69.3143,16.1194,60.93,67,17,11.5,few clouds
156,Sao Joao Da Barra,BR,-21.6403,-41.0511,61.9,78,0,8.66,clear sky
157,Arman,RU,59.7,150.1667,59.02,95,100,7.74,light rain
158,Burnie,AU,-41.0667,145.9167,52.95,68,100,17.31,overcast clouds
159,Isangel,VU,-19.55,169.2667,74.57,82,100,7.05,moderate rain
160,Kristiansund,NO,63.1115,7.732,59.05,94,75,3.44,broken clouds
161,Upernavik,GL,72.7868,-56.1549,45.72,77,100,5.06,light rain
162,Steinbach,DE,50.1667,8.5667,67.48,74,0,2.3,clear sky
163,Hasaki,JP,35.7333,140.8333,95.4,72,2,9.51,clear sky
164,Bagdarin,RU,54.4333,113.6,65.43,76,95,4.52,light rain
165,Torbay,CA,47.6666,-52.7314,65.57,85,100,5.99,overcast clouds
166,Muros,ES,42.7762,-9.0603,68.09,71,1,12.71,clear sky
167,Kautokeino,NO,69.0125,23.0412,46.58,80,98,3.42,overcast clouds
168,The Valley,AI,18.217,-63.0578,83.1,85,19,20.78,few clouds
169,Mataura,NZ,-46.1927,168.8643,48.47,93,99,6.33,overcast clouds
170,Mar Del Plata,AR,-38.0023,-57.5575,49.87,95,0,4.0,clear sky
171,Ukiah,US,39.1502,-123.2078,75.36,66,0,6.91,clear sky
172,Saint-Francois,FR,46.4154,3.9054,57.67,88,0,1.14,clear sky
173,Wewak,PG,-3.5534,143.6268,84.74,68,52,9.84,broken clouds
174,Asahikawa,JP,43.7678,142.3703,82.44,68,100,10.22,moderate rain
175,Port-Gentil,GA,-0.7193,8.7815,73.72,84,29,8.97,scattered clouds
176,Luganville,VU,-15.5333,167.1667,79.83,78,100,4.07,overcast clouds
177,Pevek,RU,69.7008,170.3133,50.5,57,14,7.45,few clouds
178,Akonolinga,CM,3.7667,12.25,66.34,93,98,3.04,overcast clouds
179,Cherskiy,RU,68.75,161.3,68.74,36,19,12.26,few clouds
180,Ribeira Grande,PT,38.5167,-28.7,73.33,73,23,3.18,few clouds
181,Loa Janan,ID,-0.583,117.095,76.05,95,100,2.42,light rain
182,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,75,13.8,light rain
183,Kerema,PG,-7.9631,145.7785,80.44,83,80,7.4,broken clouds
184,Asau,RO,46.4333,26.4,65.32,96,100,2.46,light rain
185,Ayacucho,PE,-13.1583,-74.2239,51.8,84,1,2.77,clear sky
186,Nanortalik,GL,60.1432,-45.2371,43.92,89,91,2.01,overcast clouds
187,Maarianhamina,AX,60.0973,19.9348,62.46,67,0,5.75,clear sky
188,Lincoln,US,40.8,-96.667,71.15,84,0,4.61,clear sky
189,Nsanje,MW,-16.92,35.262,64.72,87,0,1.3,clear sky
190,Shihezi,CN,44.3,86.0333,88.3,28,45,5.23,scattered clouds
191,Kavieng,PG,-2.5744,150.7967,84.81,64,78,10.18,broken clouds
192,Mahon,ES,39.8885,4.2658,75.76,73,0,6.91,clear sky
193,Bhinmal,IN,25.0,72.25,86.79,62,91,17.13,overcast clouds
194,Olafsvik,IS,64.8945,-23.7142,48.42,77,5,7.31,clear sky
195,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,4.61,broken clouds
196,Manawar,IN,22.2333,75.0833,86.43,64,56,12.64,broken clouds
